t;dT

0x1211ca61e;0x117c3
0x1211e741b;0x1198f
0x121204147;0x11ad5
0x121220ee6;0x11b96
0x12123db3f;0x11ba3
0x12125b1fd;0x119fc
0x121277d48;0x118c6
0x121294a48;0x11923
0x1212b0921;0x1179d
0x1212ce33e;0x119bf
0x1212eb0fa;0x11a7f
0x121307be9;0x119fe
0x121324ac3;0x11cf4
0x121342004;0x1257f
0x12135dfbb;0x119b1
0x12137acd0;0x11a07
0x121397a51;0x11aa3
0x1213b478b;0x11b28
0x1213d14dd;0x11ba5
0x1213ee27f;0x11ccb
0x12140adc9;0x11b52
0x121427b40;0x11bd2
0x1214442b5;0x1179c
0x121460e6d;0x117db
0x12147d9b4;0x118c9
0x12149a5a8;0x11808
0x1214b7255;0x11819
0x1214d401f;0x11945
0x1214f0d59;0x119b1
0x12150daf6;0x11a96
0x12152a7d4;0x11c17
0x1215473a4;0x11aeb
0x121563dee;0x118bc
0x121580a8c;0x11a8e
0x12159d826;0x11b9e
0x1215ba4b4;0x11be2
0x1215d6caf;0x116ff
0x1215f3bb6;0x11b44
0x121610673;0x11923
0x12162d4eb;0x11b86
0x12164a052;0x11a60
0x121666e5b;0x11bd0
0x12168377f;0x1182b
0x1216a0448;0x118f9
0x1216bdb72;0x11814
0x1216da84a;0x11834
0x1216f7700;0x11aa2
0x121714295;0x119ea
0x121730dce;0x1197d
0x12174d867;0x11778
0x12176a618;0x119af
0x121787355;0x11a2a
0x1217a403a;0x11b63
0x1217c0d09;0x11b32
0x1217dda73;0x11bc3
0x1217fa4a0;0x11946
0x121816ef9;0x117fa
0x121833bbc;0x1182b
0x121850875;0x11829
0x12186d69a;0x119b7
0x12188a496;0x11adc
0x1218a7232;0x11cad
0x1218c3d5e;0x11b34
0x1218e07c7;0x1198d
0x1218fd44e;0x11958
0x12191a04f;0x118dc
0x121936c60;0x1183c
0x12195390b;0x11817
0x1219706fe;0x1196d
0x12198d5d6;0x11bd6
0x1219a9f9a;0x119ae
0x1219c6995;0x11875
0x1219e321f;0x1179b
0x1219ffc0f;0x11668
0x121a1cfcf;0x116fc
0x121a39d5a;0x11a2b
0x121a5673c;0x11aa0
0x121a734b2;0x11c1a
0x121a8fffd;0x11a68
0x121aacac1;0x1194b
0x121ac95dd;0x1183f
0x121ae6296;0x117e6
0x121b02ecd;0x117c5
0x121b1fbdd;0x1187f
0x121b3cb47;0x11aed
0x121b5a181;0x11a4a
0x121b76d6e;0x11997
0x121b938ce;0x1182f
0x121bb04b2;0x117fc
0x121bcd305;0x1196d
0x121be9b07;0x117cc
0x121c067df;0x11837
0x121c234bc;0x1183d
0x121c4019d;0x117f3
0x121c5d062;0x11b76
0x121c79a44;0x1199a
0x121c96708;0x119a8
0x121cb3332;0x118e8
0x121ccfff0;0x118cc
0x121cecc05;0x1182c
0x121d09805;0x11709
0x121d26806;0x11a57
0x121d43291;0x11825
0x121d5fdbb;0x1174c
0x121d7c8e8;0x119aa
0x121d99746;0x11b85
0x121db639a;0x11b9a
0x121dd3799;0x1195d
0x121def6a3;0x1180a
0x121e0ccc6;0x11807
0x121e29b12;0x119b2
0x121e467ce;0x1199e
0x121e62fcc;0x118ed
0x121e7fc9f;0x11595
0x121e9ca70;0x11537
0x121eb94cc;0x118be
0x121ed5ea8;0x116bc
0x121ef2d9d;0x119dc
0x121f0fa60;0x119c1
0x121f2c67d;0x1190c
0x121f490f7;0x11971
0x121f665b7;0x11a4b
0x121f831cc;0x119fc
0x121f9f8a3;0x1157a
0x121fbc842;0x11bf8
0x121fd9cd7;0x124f3
0x121ff6518;0x11779
0x122012f51;0x11a04
0x12202fae2;0x1190d
0x12204c083;0x114a6
0x12206945f;0x11833
0x122085eb4;0x1190f
0x1220a2bb7;0x11b77
0x1220bf856;0x11b21
0x1220dc3ad;0x119dc
0x1220f8c5f;0x115dd
0x12211628d;0x11743
0x122133056;0x119c7
0x12214fcee;0x119b9
0x12216cb40;0x11b45
0x122188ec4;0x11611
0x1221a6073;0x11a07
0x1221c2633;0x11884
0x1221df9d3;0x119f5
0x1221fc644;0x11af4
0x1222190ad;0x118c7
0x122235ca3;0x1197f
0x1222528e4;0x11947
0x12226f705;0x11ab1
0x12228c06c;0x118dd
0x1222a8abf;0x11683
0x1222c5462;0x117fa
0x1222e210e;0x115b1
0x1222ff654;0x119d0
0x12231bab4;0x116e5
0x122338753;0x1169f
0x1223558ee;0x1197d
0x122372300;0x11834
0x12238f0b1;0x114b2
0x1223ac221;0x1182b
0x1223c89c0;0x11706
0x1223e4ef1;0x116e5
0x1224021df;0x1162b
0x12241ecda;0x11a01
0x12243bc76;0x11a61
0x1224589da;0x11b00
0x1224750fd;0x1158c
0x122492063;0x116b1
0x1224af4a7;0x11c22
0x1224cbfe2;0x11a85
0x1224e8df6;0x1195a
0x1225052b5;0x11aa6
0x1225220b3;0x1140b
0x12253ee8c;0x1160d
0x12255bd49;0x11777
0x12257843b;0x1183b
0x1225951ce;0x11aab
0x1225b1ef9;0x11b1f
0x1225ce7ef;0x118ed
0x1225eb472;0x118d0
0x122608069;0x11819
0x122624e9c;0x11ae4
0x122641aab;0x11a29
0x12265e8c4;0x11b45
0x12267b615;0x11bd4
0x122698225;0x11b6b
0x1226b4dbb;0x11a2a
0x1226d24bb;0x11a6b
0x1226ee4ee;0x1198b
0x12270b172;0x119a2
0x12272851c;0x1171b
0x122745348;0x119b0
0x1227620d1;0x11a8e
0x12277ee6e;0x11b68
0x12279bb17;0x11bd4
0x1227b8441;0x1181b
0x1227d4f65;0x117f9
0x1227f1be0;0x117e1
0x12280eb4c;0x11ae9
0x12282b7ac;0x11bc6
0x12284827a;0x11a00
0x122864e01;0x119f4
0x122881b0e;0x11b75
0x12289e4d1;0x119b5
0x1228bb176;0x119a9
0x1228d7d36;0x119d6
0x1228f4a11;0x119dd
0x1229116d8;0x119bb
0x12292e55d;0x11b83
0x12294b141;0x11bf5
0x122967a87;0x118aa
0x1229849ad;0x11888
0x1229a1ac1;0x116cb
0x1229be4a7;0x1152a
0x1229db1f9;0x11576
0x1229f7de8;0x115eb
0x122a14e6a;0x11a24
0x122a3170a;0x11932
0x122a4dd1c;0x116c6
0x122a6aab0;0x11668
0x122a8757c;0x11611
0x122aa4312;0x116f9
0x122ac0e54;0x1159a
0x122ade6a6;0x11b0a
0x122afada5;0x11700
0x122b17a89;0x117ed
0x122b346ef;0x11839
0x122b5165d;0x11b51
0x122b6df48;0x1175c
0x122b8b5bc;0x11b9b
0x122ba8070;0x11903
0x122bc4ae9;0x11ba4
0x122be10e3;0x117cb
0x122bfe37e;0x1197e
0x122c1b0f8;0x11bee
0x122c3785b;0x11805
0x122c549b7;0x11d1b
0x122c72131;0x12869
0x122c8de74;0x119e2
0x122caac54;0x11adb
0x122cc792b;0x11a5a
0x122ce44a0;0x119a0
0x122d017aa;0x11755
0x122d1e109;0x11958
0x122d3b47c;0x11925
0x122d57ee1;0x11aa2
0x122d745ba;0x11646
0x122d9132a;0x119c9
0x122dadf03;0x119bc
0x122dca9c7;0x11845
0x122de7778;0x11a4d
0x122e04b38;0x1182a
0x122e21802;0x117d6
0x122e3e4d4;0x11825
0x122e5b328;0x119aa
0x122e7804a;0x11abc
0x122e94d32;0x11ad4
0x122eb1a4c;0x11b1d
0x122ece394;0x11888
0x122eeafb1;0x119ab
0x122f07c67;0x119c6
0x122f24a63;0x11b13
0x122f41705;0x11be3
0x122f5e0e7;0x118de
0x122f7acac;0x118ad
0x122f97807;0x1175f
0x122fb455e;0x1193c
0x122fd13b5;0x11a9b
0x122fee0f6;0x11b31
0x12300ae38;0x11ba8
0x123027a42;0x11b6c
0x123044785;0x11bbd
0x123061385;0x11b40
0x12307e04f;0x11b35
0x12309a863;0x1170d
0x1230b7607;0x117f0
0x1230d42e6;0x11846
0x1230f0f86;0x1180a
0x12310de17;0x11a58
0x12312a9af;0x11a22
0x12314739f;0x118ad
0x1231640fc;0x11a5a
0x123180c74;0x11ab9
0x12319da1b;0x11b15
0x1231ba56b;0x119cb
0x1231d7103;0x11939
0x1231f3cf6;0x1184c
0x123210939;0x117bb
0x12322d6cd;0x119c2
0x12324a4f5;0x11b82
0x1232671d9;0x11b52
0x123284617;0x119df
0x1232a13e6;0x11a58
0x1232be1ad;0x11cc9
0x1232dacf0;0x11b05
0x1232f7546;0x11763
0x1233142ce;0x119f7
0x123330ebe;0x118de
0x12334dc13;0x119e4
0x12336a903;0x11a31
0x123387733;0x11b72
0x1233a43c1;0x11af8
0x1233cf273;0x11b03
0x1233ebc7e;0x1187d
0x123408a18;0x119c0
0x123425400;0x116d8
0x1234422ed;0x119bc
0x12345f027;0x11a40
0x12347bc16;0x11aa2
0x1234989c1;0x11b31
0x1234b5726;0x11bd6
0x1234d220d;0x119e3
0x1234eec9e;0x119bc
0x12350b991;0x119ea
0x12352864a;0x119ee
0x12354531e;0x119ed
0x123561eb9;0x11884
0x12357ebb9;0x1185d
0x12359ba28;0x119a0
0x1235b870a;0x119d8
0x1235d5458;0x11a46
0x1235f2051;0x11a66
0x12360ec08;0x11954
0x12362b80b;0x11989
0x123648355;0x11838
0x1236650e7;0x1190a
0x123682241;0x11584
0x12369f2df;0x117a2
0x1236bb68e;0x118d6
0x1236d8aae;0x11723
0x1236f4f85;0x115d6
0x1237122fd;0x117c1
0x12372ecd7;0x119b3
0x12374b9aa;0x1196c
0x12376866e;0x119b4
0x12378519e;0x11822
0x1237a1e4d;0x117d5
0x1237be9c4;0x11963
0x1237db665;0x119b3
0x1237f7f60;0x115cf
0x123814f04;0x1199c
0x123831bce;0x119d2
0x12384e8a6;0x119e1
0x12386b7b3;0x11bfc
0x1238883c7;0x11bff
0x1238a5af6;0x11af4
0x1238c25c2;0x1192a
0x1238df1c0;0x118cb
0x1238fc0b2;0x11b9d
0x12391974f;0x1256c
0x123935857;0x119cc
0x1239523dd;0x1186f
0x12396f1b5;0x118e1
0x12398beaf;0x119f1
0x1239a8b8c;0x119b5
0x1239c5944;0x11a84
0x1239e26db;0x11b78
0x1239ff49c;0x11d43
0x123a1bce5;0x118f3
0x123a388dd;0x118c4
0x123a553fa;0x11735
0x123a721a0;0x117e8
0x123a8ed94;0x11756
0x123aabbe7;0x11916
0x123ac8a20;0x11b22
0x123ae5762;0x11b93
0x123b02395;0x11b50
0x123b1f0d7;0x11b9f
0x123b3ba9d;0x1198c
0x123b5873d;0x1198f
0x123b751c2;0x1175b
0x123b91f8e;0x11954
0x123baed97;0x11b05
0x123bcb977;0x11b16
0x123be8552;0x11a45
0x123c05074;0x1189f
0x123c21d9e;0x11930
0x123c3e914;0x11aa4
0x123c5b092;0x116d7
0x123c77f15;0x11b29
0x123c949f9;0x11996
0x123cb1607;0x11922
0x123cce235;0x1194c
0x123cead5f;0x1198c
0x123d07e27;0x11a40
0x123d243a2;0x11785
0x123d41369;0x11bf9
0x123d5df46;0x11b5d
0x123d7ab41;0x11aa5
0x123d977d1;0x11a7e
0x123db43ab;0x11976
0x123dd1072;0x119aa
0x123dedc61;0x118e9
0x123e0b172;0x118a5
0x123e27e08;0x1188a
0x123e44ab9;0x118b5
0x123e6169d;0x11814
0x123e7e239;0x11983
0x123e9aefa;0x11af1
0x123eb7b78;0x11bfa
0x123ed4819;0x11c01
0x123ef13f8;0x11b21
0x123f0df28;0x119a0
0x123f2abef;0x1198b
0x123f4789c;0x1197e
0x123f6445e;0x1189e
0x123f80f0a;0x116bd
0x123f9df4c;0x11b9c
